id,name,price,city,state,zip_code
QoinB1-_xTQQPS5_jNqoQQ,LASO,$$,American Canyon,CA,94503
nYsjOjk3eIcLEQGpNvKigQ,La Strada,$$,American Canyon,CA,94503
khT8t8GzOoEE6C1dj38GIg,Le Paris Artisan & Gourmet Cafe,$$,American Canyon,CA,94503
CSYX9lbeXSqIJTh7GY3PdA,Ristorante Pasta D'oro,$$,American Canyon,CA,94503
vXCe-5mZ-Vwj9SFyUDUUCA,Maya Thai House,$$,Vallejo,CA,94590
ak3kIIlk2uz7HGILncSwtw,Bel King,$$,American Canyon,CA,94503
BpmH46scypR-BV5fqKA0yw,Tacon Hambre,$$,American Canyon,CA,94503
j1OVMOruD9GmpdZ9VKYaiw,Pho Huong Viet Noodle House,$$,Vallejo,CA,94589
DsGgy4OWayEC9rNytybztQ,Michael Warring,$$$$,Vallejo,CA,94591
Dxk7z0DnZf2mi-uv2QwsUg,FARM at Carneros,$$$,Napa,CA,94559
doR_bFEmub8lhnxGISTZRA,Mountain Mike's Pizza,$$,American Canyon,CA,94503
gph2An5H2eFIRlVk8jlAqw,South Kelly Grill,$$,American Canyon,CA,94503
f7xl7asCjkZRTwF82KP5uw,Olive & Hay,$$,Napa,CA,94558
3wKteY9xDdRK130QaeIbcQ,Bear at Stanly Ranch,,Napa,CA,94559
XyqK3TnpcUhViuyGrWzlhQ,Junction Brewery and Grill,$$,American Canyon,CA,94503
0wKcGj4GCOHzUphmoiD1hw,Vaishnu Express Cafe,$,Vallejo,CA,94589
vXjfFU-LkqR_NcJD9VgiJQ,Hopulent,$$,Vallejo,CA,94590
2c5XSiyp3EbHK3lIirgp-w,Korean Mammas Cooking,$$,Vallejo,CA,94590
cZWKexjWVRck0IvuY2Joyw,Bud's Burgers,$,Vallejo,CA,94589
xNZ6qkvqJ_EJbsoFb0KcpQ,Thai Kitchen,$$,American Canyon,CA,94503
LEBWc091AqQ3BtmlWkiKBA,Boon Fly Cafe,$$,Napa,CA,94559
7_gyln_BHsu3ps3FVqYGyg,Pho Vallejo Noodle House,$$,Vallejo,CA,94591
rLzrB6uxP5BqbqN-k80JKA,Stockpot,$$,Vallejo,CA,94590
5YP7PuLkVX9E8ESMPgRVaw,Simple Thai,$,Vallejo,CA,94590
1VxBZ-4qmygsiM6j7IMWYg,Pho 1,$$,Vallejo,CA,94590
aMAtQuP1kl5dmqw17xckQA,Mi Zacatecas,$$,American Canyon,CA,94503
Ge-nE__gaGa2Lbrou4T2pA,Napoli Pizzeria & Italian Food,$$,Vallejo,CA,94590
p90XwvEfn9XdMf8kpItosg,Frymazing,$$,Vallejo,CA,94590
yZzPZ6fqaaT0uiILUqFNFA,Starbread Bakery,$,Vallejo,CA,94589
GIcPczTf6RifuOI0HsBZwA,Taj Grill,$$,Vallejo,CA,94591
zBuI_bSExVi-gRThn-Ny3g,Food Basket,$,Vallejo,CA,94590
17e9t5mppYNJVvC8oRMJrQ,Kob's Kitchen,,American Canyon,CA,94503
vZ8LPmMEnXo-B_PrO7LqTQ,Tacos Michoacan,$,American Canyon,CA,94503
4JIliGHTw5loz9oF_R2UTQ,Tacos Jalisco,$,Vallejo,CA,94590
0NaEdJfS9WkQ0QBRpUKMJg,Hilo Hawaiian BBQ,$,American Canyon,CA,94503
s4yuPZxRWIXrtPHVKsO63A,The Loft Thai & Sushi Bar,$$,Vallejo,CA,94591
JGmxmGyqjGu3nhLjnrXfTw,Rumi Kabob,$$,Vallejo,CA,94590
fAzo6os6UatJo_fwqZ1ppg,Table 29 Bistro & Bar,$$,American Canyon,CA,94503
vOdbLlpTt4GRRszmQMtqsA,Napa River and Bay Trail,,American Canyon,CA,94503
TciSo41G_rbu6Gk7Ez2r5A,Dunkin',$,American Canyon,CA,94503
OHjvEGGTTTC86tTl-mvqyw,Picnicky's Sandwich Shop,$$,Vallejo,CA,94590
5TBY3ZjaWLTA3880E1WN4A,Ruthie's Caribbean Kitchen,$$,Vallejo,CA,94590
ma-IFK7XaRdVwA9lxNyMXA,Señor Sisig - Food Trucks,$$,San Francisco,CA,94104
7HxV_zeVkSvHIB9nxI3tTA,Kehaulani's Cafe,$$,Vallejo,CA,94591
BwlXdO_WyEl-ts7o5m2i_w,Vegan Heat,,Vallejo,CA,94589
6weR54NJAUbZXULJ30Xlfw,Chardonnay Golf Club,,American Canyon,CA,94503
TuBIlb0T1y_2BJCh3uUeJQ,Crush Lounge,$$,Napa,CA,94558
T91TtT8a6LNFbHX81ffcqw,Soultran's Seafood,$$,Vallejo,CA,94590
OMUnVcEhjD-y4V08EaBHug,3 Star Restaurant,$$,Vallejo,CA,94589
1wBMuYyJ7ajbEFUfwcFhUA,Liled's Candy Kitchen,$$,Vallejo,CA,94590
f-m7-hyFzkf0HSEeQ2s-9A,Fog Harbor Fish House,$$,San Francisco,CA,94133
oT08T3Vpn1I7jDmrBBRMTw,House of Prime Rib,$$$,San Francisco,CA,94109
WavvLdfdP6g8aZTtbBQHTw,Gary Danko,$$$$,San Francisco,CA,94109
KkAVX3Wb7E3lP5F_f_8pXg,Liholiho Yacht Club,$$$,San Francisco,CA,94109
Xg-FyjVKAN70LO4u4Z1ozg,Hog Island Oyster,$$,San Francisco,CA,94111
PsY5DMHxa5iNX_nX0T-qPA,Kokkari Estiatorio,$$$,San Francisco,CA,94111
ttarnopezxmp2ROB1N2PaA,Nopa,$$$,San Francisco,CA,94117
Tttm1r5Dw1sRMCfc3EQWPw,Boulevard,$$$$,San Francisco,CA,94105
HHtpR0RslupSQ99GIIwW5A,Marufuku Ramen,$$,San Francisco,CA,94115
